"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","num_t1_excluded_cospar","time_generate_sec","time_embed_sec"
4,0.55,1,0.5,0.55,"Lineage-DE",0.4748,0.8582,0.6405,150,101,NA,NA,TRUE,1.333,2401,0.45,0.8469,0.3752,0.4746,0.3588,0.5616,0.078,0.1735,0.5086,1.212,1.638,3098,168,0,-0.1865,0.4941,34,340,660,2135,963,328,595,0,0.974,4.578
4,0.55,2,0.5,0.55,"CYFER",0.8704,0.9865,0.8966,109,111,0.9738,0.9699,TRUE,7.131,2402,0.45,0.8469,0.3308,0.4695,0.3512,0.575,0.07513,0.186,0.4835,1.431,1.856,2969,264,0,0.05199,0.482,35,350,650,2061,908,318,586,0,0.963,4.706
4,0.55,2,0.5,0.55,"CoSPAR",0.5718,0.8334,0.6985,120,111,0.4645,0.4351,TRUE,41.83,2402,0.45,0.8469,0.3308,0.4695,0.3512,0.575,0.07513,0.186,0.4835,1.431,1.856,2969,264,0,0.05199,0.482,35,350,650,2061,908,318,586,0,0.963,4.706
4,0.55,2,0.5,0.55,"Lineage-DE",0.5389,0.8925,0.8393,95,111,NA,NA,TRUE,1.359,2402,0.45,0.8469,0.3308,0.4695,0.3512,0.575,0.07513,0.186,0.4835,1.431,1.856,2969,264,0,0.05199,0.482,35,350,650,2061,908,318,586,0,0.963,4.706
5,0.7,1,0.5,0.7,"CYFER",0.9245,0.9913,0.8258,125,116,0.9763,0.9773,TRUE,5.597,2501,0.3,0.9905,0.2993,0.4357,0.3274,0.7011,0.08519,0.1546,0.6455,1.529,1.891,3023,113,1,-0.01444,0.3683,36,360,640,2055,968,350,591,10,0.9804,4.856
5,0.7,1,0.5,0.7,"CoSPAR",0.3635,0.7618,0.5915,145,116,0.419,0.3686,TRUE,45.7,2501,0.3,0.9905,0.2993,0.4357,0.3274,0.7011,0.08519,0.1546,0.6455,1.529,1.891,3023,113,1,-0.01444,0.3683,36,360,640,2055,968,350,591,10,0.9804,4.856
5,0.7,1,0.5,0.7,"Lineage-DE",0.6297,0.8428,0.5706,162,116,NA,NA,TRUE,1.317,2501,0.3,0.9905,0.2993,0.4357,0.3274,0.7011,0.08519,0.1546,0.6455,1.529,1.891,3023,113,1,-0.01444,0.3683,36,360,640,2055,968,350,591,10,0.9804,4.856
5,0.7,2,0.5,0.7,"CYFER",0.9337,0.994,0.8803,117,103,0.9805,0.9814,TRUE,5.78,2502,0.3,0.9905,0.05132,0.4614,0.3476,0.7157,0.0734,0.1863,0.6511,1.472,1.706,3054,161,0,-0.06553,0.3552,31,310,690,1984,1070,300,651,0,0.962,4.544
5,0.7,2,0.5,0.7,"CoSPAR",0.3361,0.6091,0.2507,331,103,0.4063,0.3289,TRUE,46.67,2502,0.3,0.9905,0.05132,0.4614,0.3476,0.7157,0.0734,0.1863,0.6511,1.472,1.706,3054,161,0,-0.06553,0.3552,31,310,690,1984,1070,300,651,0,0.962,4.544
5,0.7,2,0.5,0.7,"Lineage-DE",0.4878,0.7929,0.5879,159,103,NA,NA,TRUE,1.309,2502,0.3,0.9905,0.05132,0.4614,0.3476,0.7157,0.0734,0.1863,0.6511,1.472,1.706,3054,161,0,-0.06553,0.3552,31,310,690,1984,1070,300,651,0,0.962,4.544
