"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","split_half_reliability","split_half_pearson","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","time_generate_sec","time_embed_sec"
2,0.3,2,0.3,0.4,"Lineage-DE",0.6802,0.8843,0.7807,94,109,NA,NA,TRUE,1.364,1202,0.6,0.4295,0.8901,0.3266,0.244,0.4667,0.05862,0.1204,0.4212,1.019,1.543,2953,106,0,-0.04294,0.2187,0.7264,0.5796,33,330,670,1679,1274,284,608,0.933,4.685
3,0.4,1,0.4,0.4,"CYFER",0.948,0.9894,0.8609,138,143,0.973,0.9702,TRUE,2.945,1301,0.6,0.5876,0.7331,0.388,0.2891,0.3925,0.02518,0.08165,0.3022,0.9957,1.956,2922,187,0,-0.1186,0.2736,0.7568,0.6464,33,330,670,1801,1121,286,586,0.9469,4.966
3,0.4,1,0.4,0.4,"CoSPAR",0.5934,0.8402,0.6101,113,143,0.5573,0.5241,TRUE,31.68,1301,0.6,0.5876,0.7331,0.388,0.2891,0.3925,0.02518,0.08165,0.3022,0.9957,1.956,2922,187,0,-0.1186,0.2736,0.7568,0.6464,33,330,670,1801,1121,286,586,0.9469,4.966
3,0.4,1,0.4,0.4,"Lineage-DE",0.6983,0.8842,0.5415,173,143,NA,NA,TRUE,1.438,1301,0.6,0.5876,0.7331,0.388,0.2891,0.3925,0.02518,0.08165,0.3022,0.9957,1.956,2922,187,0,-0.1186,0.2736,0.7568,0.6464,33,330,670,1801,1121,286,586,0.9469,4.966
3,0.4,2,0.4,0.4,"CYFER",0.9403,0.9893,0.7755,146,115,0.9738,0.9739,TRUE,2.997,1302,0.6,0.5876,0.6772,0.4072,0.305,0.4282,0.03251,0.07729,0.407,0.9571,2.001,2985,145,0,0.05322,0.212,0.7861,0.6142,32,320,680,1859,1126,287,607,0.9773,4.84
3,0.4,2,0.4,0.4,"CoSPAR",0.6567,0.8764,0.7422,108,115,0.5823,0.5158,TRUE,33.73,1302,0.6,0.5876,0.6772,0.4072,0.305,0.4282,0.03251,0.07729,0.407,0.9571,2.001,2985,145,0,0.05322,0.212,0.7861,0.6142,32,320,680,1859,1126,287,607,0.9773,4.84
3,0.4,2,0.4,0.4,"Lineage-DE",0.7308,0.9177,0.8443,110,115,NA,NA,TRUE,1.462,1302,0.6,0.5876,0.6772,0.4072,0.305,0.4282,0.03251,0.07729,0.407,0.9571,2.001,2985,145,0,0.05322,0.212,0.7861,0.6142,32,320,680,1859,1126,287,607,0.9773,4.84
4,0.5,1,0.5,0.4,"CYFER",0.9674,0.9939,0.6796,197,149,0.9825,0.9806,TRUE,3.409,1401,0.6,0.8038,0.3479,0.5125,0.3841,0.404,0.04812,0.08371,0.3541,0.9287,1.358,2993,302,1,-0.08937,0.3309,0.8259,0.636,33,330,670,2064,929,312,612,0.9979,5.026
4,0.5,1,0.5,0.4,"CoSPAR",0.6952,0.8237,0.4356,230,149,0.4764,0.4555,TRUE,35.24,1401,0.6,0.8038,0.3479,0.5125,0.3841,0.404,0.04812,0.08371,0.3541,0.9287,1.358,2993,302,1,-0.08937,0.3309,0.8259,0.636,33,330,670,2064,929,312,612,0.9979,5.026
4,0.5,1,0.5,0.4,"Lineage-DE",0.7497,0.8609,0.4091,285,149,NA,NA,TRUE,1.398,1401,0.6,0.8038,0.3479,0.5125,0.3841,0.404,0.04812,0.08371,0.3541,0.9287,1.358,2993,302,1,-0.08937,0.3309,0.8259,0.636,33,330,670,2064,929,312,612,0.9979,5.026
4,0.5,2,0.5,0.4,"CYFER",0.8567,0.9752,0.6919,151,162,0.9781,0.9742,TRUE,3.249,1402,0.6,0.8038,0.256,0.5066,0.3821,0.4159,0.05407,0.07361,0.3061,0.8841,1.749,3071,302,1,0.1297,0.4182,0.8476,0.6253,27,270,730,1955,1116,236,655,0.9796,5.224
4,0.5,2,0.5,0.4,"CoSPAR",0.3766,0.7089,0.3827,174,162,0.4991,0.3977,TRUE,35.97,1402,0.6,0.8038,0.256,0.5066,0.3821,0.4159,0.05407,0.07361,0.3061,0.8841,1.749,3071,302,1,0.1297,0.4182,0.8476,0.6253,27,270,730,1955,1116,236,655,0.9796,5.224
