"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","num_t1_excluded_cospar","time_generate_sec","time_embed_sec"
5,0.7,2,0.7,0.4,"CoSPAR",0.436,0.7767,0.3209,241,360,0.5279,0.4465,TRUE,38.49,1502,0.6,1.355,-1.064,0.7402,0.5561,0.3971,0.03193,0.1054,0.3502,0.8372,1.038,3021,573,5,0.1091,0.6423,23,230,770,2414,607,222,675,50,0.871,4.546
5,0.7,2,0.7,0.4,"Lineage-DE",0.5685,0.8958,0.3235,135,360,NA,NA,TRUE,1.279,1502,0.6,1.355,-1.064,0.7402,0.5561,0.3971,0.03193,0.1054,0.3502,0.8372,1.038,3021,573,5,0.1091,0.6423,23,230,770,2414,607,222,675,50,0.871,4.546
6,0.8,1,0.8,0.4,"CYFER",0.8493,0.985,0.5648,176,126,0.9571,0.9613,TRUE,7.095,1601,0.6,1.585,-1.3,0.7825,0.5878,0.4231,0.04336,0.1132,0.3816,0.8718,1.099,3020,527,9,-0.09621,0.6188,17,170,830,2462,558,162,684,90,0.8739,4.579
6,0.8,1,0.8,0.4,"CoSPAR",0.568,0.7583,0.5101,173,126,0.509,0.3413,TRUE,36.86,1601,0.6,1.585,-1.3,0.7825,0.5878,0.4231,0.04336,0.1132,0.3816,0.8718,1.099,3020,527,9,-0.09621,0.6188,17,170,830,2462,558,162,684,90,0.8739,4.579
6,0.8,1,0.8,0.4,"Lineage-DE",0.5498,0.8583,0.3773,250,126,NA,NA,TRUE,1.273,1601,0.6,1.585,-1.3,0.7825,0.5878,0.4231,0.04336,0.1132,0.3816,0.8718,1.099,3020,527,9,-0.09621,0.6188,17,170,830,2462,558,162,684,90,0.8739,4.579
6,0.8,2,0.8,0.4,"CYFER",0.9574,0.9902,0.5866,631,532,0.9737,0.9736,TRUE,6.257,1602,0.6,1.585,-0.8881,0.6998,0.5249,0.3739,0.05093,0.07659,0.3331,0.805,0.9885,3002,306,6,0.07652,0.6632,27,270,730,2448,554,250,618,60,0.9135,4.601
6,0.8,2,0.8,0.4,"CoSPAR",0.668,0.8445,0.2796,191,532,0.5305,0.4115,TRUE,34.6,1602,0.6,1.585,-0.8881,0.6998,0.5249,0.3739,0.05093,0.07659,0.3331,0.805,0.9885,3002,306,6,0.07652,0.6632,27,270,730,2448,554,250,618,60,0.9135,4.601
6,0.8,2,0.8,0.4,"Lineage-DE",0.7983,0.9211,0.4293,347,532,NA,NA,TRUE,1.304,1602,0.6,1.585,-0.8881,0.6998,0.5249,0.3739,0.05093,0.07659,0.3331,0.805,0.9885,3002,306,6,0.07652,0.6632,27,270,730,2448,554,250,618,60,0.9135,4.601
7,0.9,1,0.9,0.4,"CYFER",0.5481,0.8879,0.1692,1114,365,0.8394,0.8453,TRUE,8.308,1701,0.6,2.058,-2.955,0.9191,0.6901,0.4237,0.05117,0.1279,0.3768,0.7764,0.89,3014,1297,33,0.2295,0.6182,9,90,910,2693,321,90,546,330,0.7875,4.772
7,0.9,1,0.9,0.4,"CoSPAR",0.08619,0.3148,0.1436,272,365,0.4454,0.2266,TRUE,37.57,1701,0.6,2.058,-2.955,0.9191,0.6901,0.4237,0.05117,0.1279,0.3768,0.7764,0.89,3014,1297,33,0.2295,0.6182,9,90,910,2693,321,90,546,330,0.7875,4.772
7,0.9,1,0.9,0.4,"Lineage-DE",0.3114,0.6655,0.2185,427,365,NA,NA,TRUE,1.158,1701,0.6,2.058,-2.955,0.9191,0.6901,0.4237,0.05117,0.1279,0.3768,0.7764,0.89,3014,1297,33,0.2295,0.6182,9,90,910,2693,321,90,546,330,0.7875,4.772
7,0.9,2,0.9,0.4,"CYFER",0.4826,0.881,0.1616,986,308,0.7993,0.8032,TRUE,7.806,1702,0.6,2.058,-2.685,0.8512,0.6361,0.3986,0.04814,0.1196,0.3502,0.7531,0.9021,2956,981,17,-0.003481,0.6409,14,140,860,2477,479,133,639,170,0.7906,4.627
7,0.9,2,0.9,0.4,"CoSPAR",0.5267,0.5713,0.1193,58,308,0.3513,0.1874,TRUE,35.76,1702,0.6,2.058,-2.685,0.8512,0.6361,0.3986,0.04814,0.1196,0.3502,0.7531,0.9021,2956,981,17,-0.003481,0.6409,14,140,860,2477,479,133,639,170,0.7906,4.627
7,0.9,2,0.9,0.4,"Lineage-DE",0.8019,0.8374,0.4432,340,308,NA,NA,TRUE,1.254,1702,0.6,2.058,-2.685,0.8512,0.6361,0.3986,0.04814,0.1196,0.3502,0.7531,0.9021,2956,981,17,-0.003481,0.6409,14,140,860,2477,479,133,639,170,0.7906,4.627
