"f_dying","bias_cyfer","bias_naive","bias_oracle","cor_cyfer","cor_naive","cor_oracle","cor_fate","mean_adapt_cyfer","mean_adapt_naive","mean_adapt_oracle","mean_adapt_true"
0.75,4.59318826456849,3.8346574899145,0.0619125077459133,0.139649542366288,0.580221217634622,0.980738716758394,-0.681632119731906,6.31931768071836,5.56078690606437,1.78804192389578,1.72612941614987
0.75,3.33571544749493,3.81301746898277,0.0503409705750261,0.259350924038934,0.53867610243589,0.948758434632075,0.361764425347931,5.07632214486342,5.55362416635126,1.79094766794352,1.74060669736849
0.75,2.60086074017179,3.83434980687776,0.069407328894119,0.00678864154981346,0.619511217770182,0.901061399848853,0.729390369279486,4.31747137320752,5.55096043991349,1.78601796192985,1.71661063303573
0.75,4.25880460394122,3.85017794205652,0.0644410468890477,0.143399615555868,-0.0353663972408113,0.939005692630169,-0.322313179609157,5.96710431182989,5.55847764994518,1.77274075477771,1.70829970788866
0.9,4.54416680225819,4.5907601370769,0.186997974460774,1.44579588214399e-05,0.0494924658077432,0.962372772121702,0.0858041669424075,6.27111045632448,6.31770379114319,1.91394162852707,1.72694365406629
0.9,2.74377416783143,4.56221815377463,0.182191002125538,0.262701714751987,0.453802035135064,0.938865349626993,0.779414404137393,4.49813314001434,6.31657712595753,1.93654997430844,1.7543589721829
0.9,3.79732242893734,4.61576083314781,0.191402148845081,0.127910341775924,-0.164449257983759,0.959777677043044,0.577921878639314,5.50373813304711,6.32217653725758,1.89781785295485,1.70641570410977
0.9,4.43091868639325,4.58023618610434,0.182563223617114,-0.091476833187095,0.15126325680474,0.92854264721383,0.268057305087345,6.17978673228146,6.32910423199254,1.93143126950532,1.74886804588821
0.9,4.75002890540589,4.56377754067856,0.19283841431845,0.383831615693443,0.499579991547221,0.933720450392196,-0.320388645056483,6.5147569670207,6.32850560229336,1.95756647593326,1.76472806161481
0.9,3.5686852432189,4.62469796598469,0.192882599255303,-0.097599862922256,-0.0818890298092237,0.88932041305995,0.698373644431067,5.2671484714945,6.32316119426029,1.8913458275309,1.6984632282756
0.9,4.66854818978226,4.60071345878887,0.180374795412582,0.288197395032474,0.536002146599796,0.94306267453087,-0.0861956673519821,6.38768072134153,6.31984599034814,1.89950732697186,1.71913253155927
0.9,4.42288328528275,4.59816443006684,0.181443412027549,0.250102090685408,-0.0197721635914851,0.934569597067644,0.24356693437709,6.15713843488262,6.33241957966671,1.91569856162742,1.73425514959987
0.9,4.78145211486253,4.63015330869688,0.194412595243593,-0.0517660937846786,-0.17231328396685,0.953753455012364,-0.154197161357642,6.48087545610838,6.32957664994273,1.89383593648944,1.69942334124585
0.9,3.23297959796167,4.57589237406353,0.179003531736917,-0.11010465833212,0.679684068897339,0.953282602795622,0.64369444086297,4.98458023264603,6.32749300874789,1.93060416642127,1.75160063468436
0.99,4.99447435574349,4.97821797599443,0.971889028028835,0.0352932187973391,0.141898230649239,0.86328053567812,-0.103645070336332,6.76017279750447,6.7439164177554,2.73758746978981,1.76569844176098
0.99,5.06369179363904,4.97767126147787,0.972201787650232,0.463411787984727,0.335003237975136,0.577706863326778,-0.250348112618702,6.83895586459962,6.75293533243845,2.74746585861081,1.77526407096058
0.99,4.97245874584172,5.01280194760771,0.981247650321953,-0.0929611084125503,0.0969057105229043,0.786106088547561,0.215621250817327,6.72893238617126,6.76927558793726,2.7377212906515,1.75647364032955
0.99,4.60329116780391,5.02903255735529,1.0180857013605,0.167309961246293,0.0577030227942717,0.581506129193815,0.140459191972577,6.33132831043447,6.75706969998585,2.74612284399106,1.72803714263056
0.99,5.03046337139128,5.02169717964487,1.04446227149258,0.029830746567319,-0.0161639103447823,0.645117842658094,-0.0167089754207397,6.75381867562664,6.74505248388023,2.76781757572794,1.72335530423535
0.99,5.04005723058824,5.02202495243737,1.04010554583498,0.263128431910373,0.205879878201425,0.565219555432101,-0.102910466345878,6.75002715386034,6.73199487570948,2.75007546910709,1.70996992327211
0.99,4.9978048578895,5.06702239180511,1.00459771938424,-0.44202582561511,-0.214662524251297,0.532614799463227,0.321338500363008,6.66560185560661,6.73481938952222,2.67239471710135,1.66779699771711
0.99,3.50790583600663,5.02968563539054,1.06321588810459,0.147642447170767,-0.132335441591487,0.125775538958804,0.47970390480969,5.22795124932144,6.74973104870534,2.7832613014194,1.7200454133148
0.99,4.89749540439682,4.86786026957157,1.059165268008,-0.0164476223066057,-0.0648808677477363,0.59730658051287,-0.222796870389885,6.7712649545668,6.74162981974155,2.93293481817798,1.87376955016998
0.99,5.04454315817285,5.02884830717286,1.02173862677313,0.618139725530906,0.739887798950722,0.685265216982799,-0.050782811901921,6.76199512232417,6.74630027132419,2.73919059092446,1.71745196415133
